station_id,name,lat,lon,address,post_code,last_updated,extract_time
79d55eca-8817-4598-9b6c-845f5b495a61,Place du Marché,46.53781,6.581462,Rue du Midi,1020,2024-03-14T23:56,2024-03-15T00:00
a4f3962f-836b-4447-a1c2-5039be064712,Utogrund,47.37852,8.496727,Albisriederstrasse 200,8047,2024-03-14T23:56,2024-03-15T00:00
83d60385-7ceb-4885-8fb2-4144ff53fcf4,Hardau,47.381355,8.510418,Bullingerstrasse 73,8004,2024-03-14T23:56,2024-03-15T00:00
aed0ab31-16f4-4b82-8c4e-7e121ba04cb5,Klopstockwiese,47.36157,8.525525,Klopstockstrasse 23,8002,2024-03-14T23:56,2024-03-15T00:00
91d910a6-6dbb-4982-bc6c-f5846a9ef9a8,Stampfenbachplatz,47.37995,8.542726,Walchestrasse 11,8006,2024-03-14T23:56,2024-03-15T00:00
3c64ade9-a0e7-4a57-844d-65110660a6dd,Werd,47.37233,8.52714,Werdstrasse 75,8004,2024-03-14T23:56,2024-03-15T00:00
bfd659f4-ef22-431c-a3b5-1fa4d00912d3,Luggwegstrasse VBZ,47.386597,8.490837,Badenerstrasse 627,8048,2024-03-14T23:56,2024-03-15T00:00
5500d47c-ae94-4245-8009-50eea34b3ce8,Strandbad Mythenquai,47.35538,8.535119,Mythenquai 95,8002,2024-03-14T23:56,2024-03-15T00:00
dd5edc3b-838d-4c37-82fd-3892b1382d32,Predigerplatz,47.373676,8.545505,Predigerpatz 21,8001,2024-03-14T23:56,2024-03-15T00:00
fd1a7f9b-4ca1-431c-91c8-31737abdef14,Zwinglihaus,47.37187,8.515558,Aemtlerstrasse 23,8003,2024-03-14T23:56,2024-03-15T00:00
6aece96d-7c73-4db3-a3e1-0ff65d82b25c,Josefwiese,47.38572,8.524762,Otto-Str. 25,8005,2024-03-14T23:56,2024-03-15T00:00
e0a1ad13-cecb-4e23-9c5d-06f35423b279,"Nyon, Débarcadère",46.38278,6.24357,Rue de Rive 24-28,1260,2024-03-14T23:56,2024-03-15T00:00
6cec5911-0010-4497-98e2-7fc1b2efe327,"Eysins, Terre Bonne Park",46.38347,6.2137814,Route de Crassier 13,1262,2024-03-14T23:56,2024-03-15T00:00
3051b8c7-6490-4b90-bcfa-4747e3e8fe8a,"Nyon, Changins",46.39954,6.232108,Domaine de Changins,1260,2024-03-14T23:56,2024-03-15T00:00
77d2b016-5a75-4091-8024-3aaef4741cd1,Markthalle,47.38753,8.527138,Röntgenstrasse 87,8005,2024-03-14T23:56,2024-03-15T00:00
ee9db894-89ed-47a7-9b49-3aca7ec26ae1,Neuhausplatz,46.92904,7.4172263,Könizstrasse 249,3097,2024-03-14T23:56,2024-03-15T00:00
7d85d33f-7b3a-42dc-bfba-38901fb03e4d,Bellevuestrasse,46.926647,7.4359484,Bellevuestrasse 75,3095,2024-03-14T23:56,2024-03-15T00:00
0367e121-3da3-473b-a719-6c603cadd13b,Köniz Bahnhof,46.925022,7.4154377,Sonnenweg 22,3098,2024-03-14T23:56,2024-03-15T00:00
084076aa-badc-4f8c-9c00-5a69ea8bdb4a,Brühlplatz,46.926197,7.417231,Schwarzenburgstrasse 236,3098,2024-03-14T23:56,2024-03-15T00:00
