Objectid;Punktname;Rubrik;Kante;Nummer_nach;Id_opendata;V_coord;H_coord
98;Blankweg;Haltestelle;;"<ul style=""padding-left: 15px;""><li>44 Gümligen, Bahnhof (Tram)</li><li>44 Sonnenfeld</li></ul>";8577006;1200567.026;2604105.104
99;Blinzern;Haltestelle;;"<ul style=""padding-left: 15px;""><li>19 Blinzern</li><li>19 Elfenau</li></ul>";8589999;1196689.317;2598982.698
100;Blinzern;Haltestelle;;"<ul style=""padding-left: 15px;""><li>16 Gurten-Gartenstadt</li></ul>";8589999;1196619.17;2598940.624
101;Blinzern;Haltestelle;;"<ul style=""padding-left: 15px;""><li>16 Köniz Zentrum</li></ul>";8589999;1196696.313;2599009.797
102;Blumenfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Niederwangen Bahnhof</li></ul>";8590047;1199710.862;2596392.476
103;Blumenfeld;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Weyermannshaus Bad</li></ul>";8590047;1199714.884;2596398.192
104;Bodenweid;Haltestelle;;"<ul style=""padding-left: 15px;""><li>31 Niederwangen Erle</li></ul>";8582552;1198738.815;2596996.082
105;Bodenweid;Haltestelle;;"<ul style=""padding-left: 15px;""><li>31 Brunnadernstrasse</li></ul>";8582552;1198749.138;2597019.11
107;Bolligen Bahnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>44 Bolligen Bahnhof</li><li>44 Gümligen, Bahnhof (Tram)</li><li>44 Sonnenfeld</li><li>46 Habstetten Rössli</li><li>47 Mannenberg</li><li>48 Bolligen Bahnhof</li></ul>";8576998;1202086.62;2604418.963
109;Bollwerk;Haltestelle;;"<ul style=""padding-left: 15px;""><li>20 Wankdorf Bahnhof</li></ul>";8588990;1200091.513;2600258.703
110;Bollwerk;Haltestelle;;"<ul style=""padding-left: 15px;""><li>11 Neufeld P+R</li><li>21 Bremgarten</li></ul>";8588990;1200047.481;2600200.607
111;Bollwerk;Haltestelle;;"<ul style=""padding-left: 15px;""><li>11 Bern Bahnhof</li><li>20 Länggasse</li><li>21 Bern Bahnhof</li></ul>";8588990;1199964.235;2600144.029
112;Breitenrain;Haltestelle;;"<ul style=""padding-left: 15px;""><li>26 Breitenrain</li></ul>";8508075;1200915.338;2601236.654
